"","cd_cvm","nome_companhia"
"1","001023","BCO BRASIL S.A."
"2","014206","BRB BCO DE BRASILIA S.A."
"3","002437","CENTRAIS ELET BRAS S.A. - ELETROBRAS"
"4","014451","CIA ENERGETICA DE BRASILIA"
"5","014540","VBC ENERGIA SA"
"6","014621","NET SERVIÇOS DE COMUNICAÇÃO S.A."
"7","015733","SHOPPING CENTER TACARUNA SA"
"8","014680","PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO"
"9","014613","NEUMARKT TRADE AND FINANCIAL CENTER S/A"
"10","014796","FORPART S.A. - EM LIQUIDAÇÃO"
"11","015334","BOMBRIL HOLDING SA"
"12","014818","CIMS S.A."
"13","011258","TELEC BRASILEIRAS S.A. TELEBRAS"
"14","015083","KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL"
"15","015423","ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
"16","016772","BNDES PARTICIPACOES S.A. - BNDESPAR"
"17","016209","ELETRON S.A."
"18","014966","SERRA AZUL WATER PARK SA"
"19","022594","STATKRAFT ENERGIAS RENOVAVEIS S.A."
"20","018589","INVESTCO S.A."
"21","014915","GTD PARTICIPACOES SA"
"22","015091","LITEL PARTICIPACOES S.A."
"23","020990","AMERICANAS S.A."
"24","019577","CONC RODOVIA PRES. DUTRA S.A."
"25","015253","ENERGISA S.A."
"26","015261","SAUIPE SA"
"27","015199","SANTA CATARINA PART INVEST SA"
"28","015369","FERROVIA CENTRO-ATLANTICA S.A."
"29","015377","HOPI HARI SA"
"30","019208","CONC RIO-TERESOPOLIS S.A."
"31","015717","CAIXA ADM DIV PUB ESTADUAL SA"
"32","015652","COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO"
"33","021733","CIELO S.A."
"34","015539","NEOENERGIA S.A."
"35","015784","ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR"
"36","019887","UNIVERSO ONLINE SA"
"37","015865","ITAITINGA PARTICIPACOES S.A."
"38","015709","FERROVIA SUL-ATLANTICO S.A."
"39","015695","GRUCAI PARTICIPACOES S.A."
"40","015741","WTC AMAZONAS SUITE HOTEL S.A."
"41","018910","ITA ENERGETICA S/A"
"42","018988","VOTORANTIM FINANÇAS SA"
"43","015849","ENERGIPAR PARTICIPAÇÕES S.A."
"44","017949","MRS LOGISTICA S.A."
"45","020893","REDECARD S/A"
"46","016101","GAFISA S.A."
"47","016330","521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL"
"48","006041","INVESTIMENTOS BEMGE S.A."
"49","016233","BELAPART SA"
"50","019186","SANEAMENTO DE GOIAS SA"
"51","017590","CONCES DA ROD OSÓRIO-POA S/A - CONCEPA"
"52","016195","AMERICEL SA"
"53","016225","VALETRON SA"
"54","016390","TAM S.A."
"55","016292","BRF S.A."
"56","016284","524 PARTICIPACOES S.A."
"57","020133","BV LEASING - ARRENDAMENTO MERCANTIL S.A."
"58","020044","CSU CARDSYSTEM S.A."
"59","019313","AES ELPA S.A."
"60","018708","CIA PARTICIPACOES ALIANCA DA BAHIA"
"61","016438","SUL 116 PARTICIPACOES S.A."
"62","016497","EMPRESA NAC COM REDITO PART S.A.ENCORPAR"
"63","016551","WTC RIO EMPREEND. E PARTICIPAÇÕES S.A."
"64","016535","RIO GRANDE ENERGIA SA"
"65","016527","RGE SUL DISTRIBUIDORA DE ENERGIA S.A."
"66","016586","SUDESTE S.A."
"67","016446","NUMERAL 80 PARTICIPAÇÕES S.A."
"68","018287","CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZACAO"
"69","018678","TELEMAR PARTICIPAÇÕES SA"
"70","016560","BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO"
"71","016659","PORTO SEGURO S.A."
"72","016624","UPTICK PARTICIPACOES S.A."
"73","019143","EDITORA ABRIL S/A"
"74","016632","DEXXOS PARTICIPAÇÕES S.A."
"75","016675","CEL PARTICIPAÇÕES S.A. - CELPAR"
"76","016705","YBYRÁ S.A."
"77","016691","LIGA FUTEBOL SA"
"78","019151","RODONORTE - CONC. ROD. INTEGRADAS S.A."
"79","019011","EMPRESA CONC RODOV DO NORTE S.A.ECONORTE"
"80","016730","INEPAR ENERGIA SA"
"81","017868","INEPAR EQUIPAMENTOS E MONTAGENS S/A"
"82","020443","TRANSNORDESTINA LOGISTICA SA"
"83","017787","SUBESTAÇÃO ELETROMETRÔ S/A"
"84","019232","PRODUTORES ENERGET.DE MANSO S.A.- PROMAN"
"85","016985","EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A."
"86","016993","EMAE - EMPRESA METROP.AGUAS ENERGIA S.A."
"87","016950","DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO"
"88","017043","FG TRUST SA"
"89","017370","METALTRUST S/A (5212 PARTICIPAÇÕES S/A)"
"90","016942","OPPORTUNITY ENERGIA E PARTICIPACOES S.A."
"91","017485","ELEKTRO REDES S.A."
"92","017434","LONGDIS S.A."
"93","020800","TEGMA GESTAO LOGISTICA S.A."
"94","017337","RET PARTICIPACOES S.A."
"95","017361","ZAIN PARTICIPACOES S.A."
"96","018414","PADTEC HOLDING S.A."
"97","021830","VIANORTE S/A"
"98","017450","RUMO S.A."
"99","017442","LF TEL SA"
"100","019364","ITAPEBI GERACAO DE ENERGIA S.A."
"101","021024","CONC ROD.OESTE SP VIAOESTE S.A"
"102","018660","CPFL ENERGIA S.A."
"103","020192","CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN"
"104","017388","FUTURETEL S.A."
"105","017329","ENGIE BRASIL ENERGIA S.A."
"106","017418","TELINVEST S.A."
"107","017930","RUMO MALHA PAULISTA S.A."
"108","020397","CONC ECOVIAS IMIGRANTES S.A."
"109","017779","MAORI SA"
"110","022551","SOMOS EDUCAÇÃO S.A."
"111","021857","CENTROVIAS-SISTEMAS RODOVIARIOS S/A"
"112","017710","VIVO PARTICIPAÇÕES SA"
"113","017639","TIM PARTICIPACOES S.A."
"114","017647","EMBRATEL PARTICIPAÇÕES SA"
"115","017655","TELE NORTE LESTE PARTICIPAÇÕES SA"
"116","017604","TELE NORTE CELULAR PARTICIPAÇÕES SA"
"117","017671","TELEFÔNICA BRASIL S.A"
"118","017493","CAPITALPART PARTICIPAÇÕES SA"
"119","017558","INNCORP S.A."
"120","017540","NEWTEL PARTICIPACOES S.A."
"121","018430","REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A."
"122","018538","TERMINAL GARAGEM MENEZES CORTES S.A."
"123","021822","AUTOVIAS S/A"
"124","018554","PAN ARRENDAMENTO MERCANTIL S.A."
"125","019593","SANESALTO SANEAMENTO S.A."
"126","018236","PATRIA CIA SECURITIZADORA DE CRED IMOB"
"127","017922","BRAZILIAN FINANCE E REAL ESTATE S.A."
"128","017914","MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL"
"129","017892","SANTOS BRASIL PARTICIPACOES S.A."
"130","017884","BETAPART PARTICIPACOES S.A."
"131","018406","RB SEC COMPANHIA DE SECURITIZAÇÃO"
"132","018066","ALTERE SECURITIZADORA S.A."
"133","018082","ALIUM PARTICIPAÇÕES SA"
"134","017965","GAMA PARTICIPACOES S.A."
"135","017973","COGNA EDUCAÇÃO S.A."
"136","018104","AETATIS SECURITIZADORA S.A."
"137","018112","COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV"
"138","018821","CCR S.A."
"139","022454","T4F ENTRETENIMENTO S.A."
"140","018902","VICUNHA SIDERURGIA SA"
"141","020575","JBS S.A."
"142","019771","ARTERIS S.A."
"143","021431","HYPERA S.A."
"144","020478","PDG REALTY S.A. EMPREEND E PARTICIPACOES - EM REC JUDICIAL"
"145","018716","CEMIG TELECOMUNICAÇÕES S.A."
"146","018333","PROMPT PARTICIPACOES S.A."
"147","018368","RIO PARANAPANEMA ENERGIA S.A."
"148","018350","AES TIETE SA"
"149","018376","CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA"
"150","019330","TPI - TRIUNFO PARTICIP. E INVEST. S.A."
"151","018929","MACHADINHO ENERGÉTICA SA"
"152","021849","CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A"
"153","020010","EQUATORIAL ENERGIA S.A."
"154","018597","DTCOM - DIRECT TO COMPANY S.A."
"155","019879","LIGHT S.A."
"156","018872","RIOEST ESTACIONAMENTOS SA"
"157","019216","CP CIMENTO E PARTICIPAÇÕES S/A"
"158","014605","ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A"
"159","021415","BRZ INVESTIMENTOS S/A"
"160","020001","XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A."
"161","019860","RB CAPITAL SECURITIZADORA S.A."
"162","018635","PRIVATINVEST PARTICIPAÇÕES SA"
"163","019437","ANDRADE GUTIERREZ CONCESSOES S.A."
"164","018651","ARAUCÁRIA PARTICIPAÇÕES SA"
"165","018775","INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR"
"166","018759","BRAZILIAN SECURITIES CIA SECURITIZACAO"
"167","019852","TERMOPERNAMBUCO S.A."
"168","018724","BRADESPAR S.A."
"169","020788","MARFRIG GLOBAL FOODS S.A."
"170","018953","CPFL GERACAO DE ENERGIA S.A."
"171","019763","EDP - ENERGIAS DO BRASIL S.A."
"172","019089","COARI PARTICIPAÇÕES SA"
"173","019119","CABINDA PARTICIPACOES S.A."
"174","019135","CACONDE PARTICIPACOES S.A."
"175","019062","ANDRADE GUTIERREZ PARTICIPACOES S.A."
"176","019100","ATMA PARTICIPAÇÕES S.A."
"177","019070","DOMMO EMPREENDIMENTOS IMOBILIÁRIOS S.A"
"178","019097","CAIANDA PARTICIPACOES S.A."
"179","018970","AES TIETE ENERGIA SA"
"180","019453","ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A."
"181","019275","CIA PIRATININGA DE FORCA E LUZ"
"182","019429","COMPANHIA PROVINCIA DE SECURITIZACAO"
"183","018961","ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A."
"184","019380","BRPR 53 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"185","019356","REC SÃO BERNARDO SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A"
"186","021237","ENEVA S.A"
"187","021555","UNIDAS S.A."
"188","019224","NOVA ACAO PARTICIPACOES S.A."
"189","019240","CIA DE RECUPERAÇÃO SECUNDÁRIA"
"190","019305","BIOMM S.A."
"191","019607","BAESA-ENERGETICA BARRA GRANDE SA"
"192","019372","BRPR 51 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"193","020613","METALFRIO SOLUTIONS S.A."
"194","018309","EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A."
"195","000922","BCO AMAZONIA S.A."
"196","009717","PORTUENSE FERRAGENS S/A"
"197","001171","BCO ESTADO DO PARA S.A."
"198","023221","SER EDUCACIONAL S.A."
"199","019500","BGPAR SA"
"200","019402","GLOBAL BRASIL SA"
"201","022683","CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A."
"202","021717","TARPON INVESTIMENTOS S.A."
"203","080004","TELEFÓNICA, S.A."
"204","080047","WILSON SONS LTD."
"205","020354","TERRA SANTA AGRO S.A."
"206","022357","ALIANSCE SONAE SHOPPING CENTERS S.A."
"207","019470","CSA-COMPANHIA SECURITIZADORA DE ATIVOS"
"208","019518","PIPA CIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS"
"209","019542","FIBRA CIA SECURITIZADORA CRED IMOB"
"210","019585","UNIVER CIDADE TRUST DE RECEBIVEIS SA"
"211","019526","TESLA COMPANHIA SECURITIZADORA DE CRÉDITOS"
"212","021300","ALIANSCE SHOPPING CENTERS S.A."
"213","019984","BRPR 56 SECURITIZADORA CRED IMOB S.A."
"214","019569","GOL LINHAS AEREAS INTELIGENTES S.A."
"215","016608","EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A."
"216","019810","BRPR 44 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"217","022608","EMPREENDIMENTOS PAGUE MENOS S.A."
"218","019917","TEMPO PARTICIPAÇOES S/A"
"219","019909","BR MALLS PARTICIPACOES S.A."
"220","019925","BR PROPERTIES S.A."
"221","020320","CEMIG GERACAO E TRANSMISSAO S.A."
"222","020303","CEMIG DISTRIBUICAO S.A."
"223","019747","BETA SECURITIZADORA S.A."
"224","019976","BRPR 52 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"225","018546","CAGECE - CIA DE AGUA E ESGOTO DO CEARA"
"226","014869","CIA ENERGETICA DO CEARA - COELCE"
"227","019895","BRPR 45 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"228","019690","BTG PACTUAL SECURITIZADORA S.A"
"229","019704","B.I. COMPANHIA SECURITIZADORA S/A"
"230","019720","BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS"
"231","011606","UNITEXTIL - UNIAO INDUSTRIAL TEXTIL S/A"
"232","020338","M.DIAS BRANCO S.A. IND COM DE ALIMENTOS"
"233","001228","BCO NORDESTE DO BRASIL S.A."
"234","014168","CARBOMIL SA MINER. E INDUSTRIA"
"235","019933","ITAUSEG PARTICIPAÇÕES SA"
"236","009520","PETROLEO LUB DO NORDESTE SA"
"237","021423","FLORESTAL BRASIL SA"
"238","005878","FAE - FERRAGENS APARELHOS ELÉTRICOS S/A"
"239","005991","VICUNHA TEXTIL SA"
"240","016268","MARINA DE IRACEMA PARK SA"
"241","020079","UNI CIDADE SPTRUST DE RECEBÍVEIS SA"
"242","021113","BANCO INDUSTRIAL E COMERCIAL S/A"
"243","020222","PLANETA SECURITIZADORA S.A."
"244","020150","AFLUENTE G&T DE ENERGIA ELÉTRICA S/A"
"245","020052","DINAMICA ENERGIA S.A."
"246","020087","EMBRAER S.A."
"247","020265","BROOKFIELD INCORPORAÇÕES S.A."
"248","019941","BRPR 55 SECURITIZADORA CRED IMOB S.A."
"249","020966","SPRINGS GLOBAL PARTICIPACOES S.A."
"250","020214","AMPLA INVESTIMENTOS E SERVIÇOS S/A"
"251","020982","MULTIPLAN - EMPREEND IMOBILIARIOS S.A."
"252","020630","CR2 EMPREENDIMENTOS IMOBILIARIOS S.A."
"253","020230","ACRUX SECURITIZADORA S/A"
"254","080020","GP INVESTMENTS, LTD."
"255","020257","TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A."
"256","020419","ONE PROPERTIES S.A."
"257","020176","CENTENNIAL ASSET PART. MINAS-RIO S/A"
"258","020184","CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO"
"259","020168","ÓLEO E GÁS PARTICIPAÇÕES S.A."
"260","020435","TECNISA S.A."
"261","020370","LPS BRASIL - CONSULTORIA DE IMOVEIS S.A."
"262","020400","SAFRA COMPANHIA SECURITIZADORA DE CREDITOS IMOBILIARIOS"
"263","020460","TFA SECURITIZADORA S/A"
"264","022330","RJ CAPITAL PARTNERS S.A."
"265","020605","JHSF PARTICIPACOES S.A."
"266","020770","EZ TEC EMPREEND. E PARTICIPACOES S.A."
"267","018139","CIA ENERGETICA DO RIO GDE NORTE - COSERN"
"268","020915","MRV ENGENHARIA E PARTICIPACOES S.A."
"269","021490","ALUPAR INVESTIMENTO S/A"
"270","004669","GUARARAPES CONFECCOES S.A."
"271","011215","TECBLU TECELAGEM BLUMENAU S.A."
"272","020540","CPFL ENERGIAS RENOVÁVEIS S.A."
"273","020648","CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D"
"274","021636","RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL"
"275","021393","CIA CELG DE PARTICIPACOES - CELGPAR"
"276","021539","REP REAL ESTATE PARTNERS DESENV IMOB SA"
"277","021180","BRASIL BROKERS PARTICIPACOES S.A."
"278","020834","SETIBA PARTICIPAÇÕES S/A"
"279","020850","ALLIS PARTICIPAÇÕES S.A."
"280","020672","BRC SECURITIZADORA S.A."
"281","020842","MAGNESITA REFRATARIOS S.A."
"282","020907","BHG S.A. - BRAZIL HOSPITALITY GROUP"
"283","021482","PRUMO LOGISTICA SA"
"284","021008","GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A."
"285","020818","ISEC SECURITIZADORA S.A."
"286","021040","CYRELA COMMERCIAL PROPERT S.A. EMPR PART"
"287","021016","YDUQS PARTICIPACOES S.A."
"288","021130","TRISUL S.A."
"289","021245","CENTENNIAL ASSET PARTICIPAÇÕES AÇU S.A."
"290","021903","ECORODOVIAS CONCESSÕES E SERVIÇOS S.A."
"291","021105","NOVA SECURITIZACAO S.A."
"292","021059","MATONE SECURITIZADORA S/A"
"293","080098","LAEP INVESTMENTS LTD"
"294","021520","MULTINER S/A"
"295","022438","INTERNATIONAL MEAL COMPANY HOLDINGS S/A"
"296","021075","VISION SECURITIZADORA S.A."
"297","080080","AGRENCO LIMITED"
"298","022560","INBRANDS S.A."
"299","022225","TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA S.A"
"300","021938","ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A"
"301","021342","OSX BRASIL S.A."
"302","004685","CONPEL CIA NORDESTINA PAPEL - EM RECUPERAÇÃO JUDICIAL"
"303","019968","CIA DE AGUA E ESGOTO DA PARAIBA"
"304","022110","OMEGA ENERGIA RENOVÁVEL S/A"
"305","021261","MONTICIANO PARTICIPAÇÕES S/A"
"306","021814","FERROVIA NORTE SUL S/A"
"307","022519","TECHNOS S.A."
"308","021628","HABITASEC SECURITIZADORA SA"
"309","021997","AUTOPISTA LITORAL SUL"
"310","022004","AUTOPISTA FLUMINENSE SA"
"311","021970","AUTOPISTA PLANALTO SUL SA"
"312","021989","AUTOPISTA FERNÃO DIAS SA"
"313","021962","AUTOPISTA REGIS BITTENCOURT SA"
"314","021660","FAE ADM. E PARTICIPAÇÕES SA"
"315","021610","B3 S.A. - BRASIL, BOLSA, BALCÃO"
"316","022241","KAROON PETRÓLEO & GÁS SA"
"317","021792","CETIP S.A. - BALCÃO ORGANIZADO DE ATIVOS E DERIVATIVOS"
"318","021563","BERNA PARTICIPAÇÕES SA"
"319","022446","K INFRA RODOVIA DO AÇO S.A"
"320","021512","ÁQUILLA SECURITIZADORA S.A."
"321","021601","BASEL PARTICIPAÇÕES S/A"
"322","021598","BANJUL PARTICIPAÇÕES SA"
"323","021580","BELMONTE PARTICIPAÇÕES SA"
"324","021644","PDG COMPANHIA SECURITIZADORA - EM RECUPERAÇÃO JUDICIAL"
"325","021806","AGV HOLDING S/A"
"326","021652","CTX PARTICIPAÇÕES S/A"
"327","022691","CIA LOCAÇÃO DAS AMÉRICAS"
"328","021687","INVITEL LEGACY SA - EM LIQUIDAÇÃO"
"329","022063","NEXFUEL BIOENERGIA S/A"
"330","022144","CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A."
"331","021695","NPF SECURITIZADORA S/A"
"332","022179","AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A"
"333","021725","ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A."
"334","022047","METROPOLIS EMPREENDIMENTOS IMOBILIÁRIOS S/A"
"335","021750","INFRASEC SECURITIZADORA S.A."
"336","022268","CONC AUTO RAPOSO TAVARES S.A."
"337","021920","BARI SECURITIZADORA S.A."
"338","022187","PETRO RIO S.A."
"339","022543","VIARONDON CONCESSIONÁRIA DE RODOVIA S.A."
"340","022071","CONC ROTA DAS BANDEIRAS S.A."
"341","022721","CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL"
"342","021741","ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A."
"343","021865","BRAZAL BRASIL ALIMENTOS SA"
"344","014362","CIA ENERGETICA DE PERNAMBUCO - CELPE"
"345","022411","CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS"
"346","021776","CENTENNIAL ASSET PARTICIPAÇÕES SUDESTE S/A"
"347","021784","EBX BRASIL S.A."
"348","022039","BOLERO PARTICIPAÇÕES S/A"
"349","021946","MULTIPLUS S.A."
"350","022101","AQUA-RIO S/A"
"351","022080","COMPANHIA PAULISTA DE SECURITIZAÇÃO"
"352","022152","POTHENCIA S.A. - REFLORESTADORA"
"353","022500","BRASIL PHARMA S.A."
"354","021954","3A COMPANHIA SECURITIZADORA"
"355","080110","DUFRY A.G."
"356","022756","SAAG INVESTIMENTOS S.A."
"357","022365","ENAUTA PARTICIPAÇÕES S.A."
"358","022420","TRX SECURITIZADORA S.A."
"359","022217","ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A."
"360","022098","CERVEJASONLINE PARTICIPAÇÕES S/A"
"361","022284","MCM CIMENTOS S/A"
"362","022497","QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A."
"363","022195","ROPASC PARTICIPAÇÕES S.A."
"364","022209","PASCRO PARTICIPAÇÕES S.A."
"365","021067","MOURA DUBEUX ENGENHARIA S/A"
"366","022128","REDENTOR ENERGIA S/A"
"367","022276","TRUE SECURITIZADORA S.A."
"368","022390","OCTANTE SECURITIZADORA S.A."
"369","022160","POLO CAPITAL SECURITIZADORA S.A"
"370","022250","OURINVEST SECURITIZADORA SA"
"371","022314","CÁSPIO PARTICIPAÇÕES S/A"
"372","022322","VOSTOK PARTICIPAÇÕES SA"
"373","022462","MÊNFIS PARTICIPAÇÕES S.A."
"374","022292","STEIN SP II PARTICIPAÇÕES S.A."
"375","022527","PERENCO PETRÓLEO E GÁS DO BRASIL PARTICIPAÇÕES S.A."
"376","022233","BRASIL PLURAL SECURITIZADORA S.A."
"377","022675","HIDROVIAS DO BRASIL S.A."
"378","022748","PATMOS PARTICIPAÇÕES S.A."
"379","022713","EGEU PARTICIPAÇÕES S.A."
"380","022489","FORTE SECURITIZADORA S.A."
"381","001120","BCO ESTADO DE SERGIPE S.A. - BANESE"
"382","018996","ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A"
"383","009784","PRONOR PETROQUIMICA SA"
"384","009857","QGN PARTICIPAÇÕES SA"
"385","004359","ELEKEIROZ S.A."
"386","001597","PARTICIPAÇÕES INDUST. DO NORDESTE S.A."
"387","020729","PARANA BCO S.A."
"388","012696","SANSUY S.A. INDUSTRIA DE PLASTICOS"
"389","021156","J. MACEDO S.A."
"390","004863","CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA"
"391","011398","TRONOX PIGMENTOS DO BRASIL S.A."
"392","006955","IND AZULEJOS BAHIA SA"
"393","014524","CIA ELETRICIDADE EST. DA BAHIA - COELBA"
"394","003069","CIA FERRO LIGAS DA BAHIA - FERBASA"
